game_id,platform_id
1,1
2,2
3,3
4,4
4,5
5,3
6,4
7,8
8,3
9,3
10,3
11,12
12,3
12,4
12,14
12,16
12,17
13,18
14,19
15,3
15,20
15,22
16,3
17,4
18,25
19,26
19,27
20,2
21,4
21,5
22,3
23,3
24,3
25,34
26,16
27,3
28,16
29,3
30,39
31,2
32,41
33,26
33,27
33,42
33,44
33,46
33,47
34,19
35,3
36,3
37,3
38,52
39,3
39,4
39,14
39,16
39,20
39,22
40,59
41,3
42,61
43,62
44,3
44,22
45,3
46,3
47,3
47,20
47,22
48,70
49,2
50,72
51,34
52,62
53,1
53,75
54,3
55,3
56,14
57,39
58,3
59,18
60,3
61,3
62,3
63,3
64,3
64,22
65,2
65,89
66,3
67,3
68,52
69,94
70,3
71,62
72,3
73,98
74,3
75,16
76,101
77,3
77,20
78,104
79,3
79,20
79,107
80,52
81,3
82,89
83,3
84,3
84,20
84,22
85,3
86,3
87,3
88,118
89,3
89,22
89,26
89,72
89,120
90,118
91,34
91,125
92,3
93,3
93,129
94,3
95,3
95,20
95,22
96,3
97,135
98,3
99,62
100,3
101,2
101,89
102,3
102,20
102,22
103,144
104,3
105,3
106,147
107,3
108,2
109,3
109,20
109,22
109,89
110,2
110,89
111,156
112,3
112,22
113,3
114,3
115,161
116,129
117,3
117,129
118,3
119,2
119,89
120,3
121,3
121,4
121,14
121,16
122,3
123,3
124,3
125,176
126,3
126,20
126,22
127,180
128,34
129,3
130,14
130,16
131,185
132,1
132,3
133,3
133,14
133,16
133,20
133,22
134,3
135,34
136,2
136,3
136,4
136,5
136,14
136,16
136,20
136,22
136,89
137,3
137,20
138,3
139,3
140,2
141,3
142,3
143,3
144,4
144,5
144,14
144,16
144,17
145,3
146,3
146,4
146,5
146,14
146,16
146,17
147,75
148,3
148,20
148,22
149,26
150,3
150,4
150,5
150,14
150,17
151,125
152,1
153,129
154,3
155,238
156,3
156,20
156,22
157,129
158,44
158,243
159,3
159,20
160,3
161,3
162,3
163,2
164,3
165,3
166,3
166,14
166,16
166,22
167,3
168,258
169,3
169,42
169,44
169,262
169,263
169,264
170,3
171,3
171,14
171,16
171,17
172,270
173,3
173,20
173,22
174,2
174,3
174,125
175,185
176,3
177,3
178,3
178,16
179,3
180,26
180,284
181,3
182,39
183,3
183,14
183,16
184,2
185,3
186,258
187,3
187,22
188,3
189,3
190,16
191,3
191,22
192,27
193,3
194,129
195,75
196,89
197,3
197,4
197,5
197,14
197,16
197,17
197,20
198,129
199,16
200,129
201,62
202,3
202,4
202,5
202,14
202,16
202,17
203,72
203,180
204,3
205,26
205,27
205,42
205,44
205,243
206,18
207,156
208,2
209,333
210,18
211,14
211,17
212,3
213,262
214,34
215,3
215,17
215,341
215,343
215,344
216,3
216,22
217,3
218,62
219,3
220,3
221,351
222,351
223,3
224,354
225,3
226,3
227,3
228,3
228,20
228,22
229,3
229,22
229,129
230,3
231,3
231,20
231,22
232,3
233,3
233,14
233,16
233,22
234,3
235,374
236,3
236,22
237,3
238,3
239,3
240,16
241,3
242,1
243,3
244,8
244,19
244,41
244,61
244,70
244,94
245,3
246,3
247,3
248,3
248,98
248,125
249,118
250,3
251,72
252,3
252,20
252,22
253,3
254,3
255,3
256,129
257,120
258,16
259,129
260,3
260,5
260,17
261,412
262,2
263,125
264,3
264,20
264,22
265,3
266,419
267,3
267,22
268,89
269,129
270,18
271,3
272,3
273,258
274,98
275,3
276,3
277,3
278,3
279,16
280,412
281,14
281,17
282,156
283,3
283,16
284,3
284,16
284,22
285,412
286,3
287,412
288,3
289,3
289,20
289,22
290,61
290,70
291,3
291,22
292,26
292,243
292,456
293,3
293,20
293,22
294,16
295,3
296,3
297,463
298,2
298,3
298,22
298,89
299,156
300,16
301,3
301,22
302,472
303,104
304,3
304,20
305,3
306,39
307,472
308,3
308,20
308,22
308,129
309,3
310,2
310,89
311,486
312,3
313,3
313,20
313,22
314,3
314,22
315,3
315,4
315,5
315,14
315,16
315,89
315,498
316,135
317,52
318,4
319,2
320,34
321,3
322,180
323,3
324,3
324,20
325,129
326,98
327,18
328,513
329,18
330,41
330,118
331,3
331,4
331,14
331,16
332,3
332,4
332,14
332,16
333,129
334,22
334,26
334,120
335,3
335,20
336,180
337,3
337,4
337,14
338,3
339,3
340,2
340,89
341,539
342,3
343,3
343,22
344,3
345,3
345,16
346,3
347,16
348,129
349,3
350,3
351,156
352,2
353,3
354,3
355,3
355,22
356,3
356,4
356,14
357,351
358,3
358,129
359,3
360,39
